"Race","Year","Period","Year_Qtr","Rate","Caucasian_dummy","Hispanic_dummy","African_American_dummy","Asian_dummy"
"Hispanic",2005,3,"2005 Qtr3",5.8,0,1,0,0
"Hispanic",2005,4,"2005 Qtr4",5.9,0,1,0,0
"Hispanic",2006,1,"2006 Qtr1",6,0,1,0,0
"Hispanic",2006,2,"2006 Qtr2",4.9,0,1,0,0
"Hispanic",2006,3,"2006 Qtr3",5.3,0,1,0,0
"Hispanic",2006,4,"2006 Qtr4",4.8,0,1,0,0
"Hispanic",2007,1,"2007 Qtr1",5.9,0,1,0,0
"Hispanic",2007,2,"2007 Qtr2",5.3,0,1,0,0
"Hispanic",2007,3,"2007 Qtr3",5.7,0,1,0,0
"Hispanic",2007,4,"2007 Qtr4",5.8,0,1,0,0
"Hispanic",2008,1,"2008 Qtr1",7.1,0,1,0,0
"Hispanic",2008,2,"2008 Qtr2",6.9,0,1,0,0
"Hispanic",2008,3,"2008 Qtr3",7.7,0,1,0,0
"Hispanic",2008,4,"2008 Qtr4",8.8,0,1,0,0
"Hispanic",2009,1,"2009 Qtr1",11.8,0,1,0,0
"Hispanic",2009,2,"2009 Qtr2",11.6,0,1,0,0
"Hispanic",2009,3,"2009 Qtr3",12.6,0,1,0,0
"Hispanic",2009,4,"2009 Qtr4",12.5,0,1,0,0
"Hispanic",2010,1,"2010 Qtr1",13.5,0,1,0,0
"Hispanic",2010,2,"2010 Qtr2",11.9,0,1,0,0
"Hispanic",2010,3,"2010 Qtr3",12,0,1,0,0
"Hispanic",2010,4,"2010 Qtr4",12.6,0,1,0,0
"Hispanic",2011,1,"2011 Qtr1",12.5,0,1,0,0
"Hispanic",2011,2,"2011 Qtr2",11.3,0,1,0,0
"Hispanic",2011,3,"2011 Qtr3",11.1,0,1,0,0
"Hispanic",2011,4,"2011 Qtr4",11,0,1,0,0
"Hispanic",2012,1,"2012 Qtr1",11.2,0,1,0,0
"Hispanic",2012,2,"2012 Qtr2",10.4,0,1,0,0
"Hispanic",2012,3,"2012 Qtr3",9.9,0,1,0,0
"Hispanic",2012,4,"2012 Qtr4",9.7,0,1,0,0
"Hispanic",2013,1,"2013 Qtr1",10.1,0,1,0,0
"Hispanic",2013,2,"2013 Qtr2",8.7,0,1,0,0
"Hispanic",2013,3,"2013 Qtr3",9.1,0,1,0,0
"Hispanic",2013,4,"2013 Qtr4",8.6,0,1,0,0
"Hispanic",2014,1,"2014 Qtr1",8.6,0,1,0,0
"Hispanic",2014,2,"2014 Qtr2",7.3,0,1,0,0
"Hispanic",2014,3,"2014 Qtr3",7.3,0,1,0,0
"Hispanic",2014,4,"2014 Qtr4",6.5,0,1,0,0
"Hispanic",2015,1,"2015 Qtr1",7.3,0,1,0,0
"Hispanic",2015,2,"2015 Qtr2",6.5,0,1,0,0
"Hispanic",2015,3,"2015 Qtr3",6.5,0,1,0,0
"Hispanic",2015,4,"2015 Qtr4",6.2,0,1,0,0
"Hispanic",2016,1,"2016 Qtr1",6.1,0,1,0,0
"Hispanic",2016,2,"2016 Qtr2",5.6,0,1,0,0
"Hispanic",2016,3,"2016 Qtr3",5.8,0,1,0,0
"Hispanic",2016,4,"2016 Qtr4",5.6,0,1,0,0
"Hispanic",2017,1,"2017 Qtr1",5.9,0,1,0,0
"Hispanic",2017,2,"2017 Qtr2",4.7,0,1,0,0
"Hispanic",2017,3,"2017 Qtr3",5.1,0,1,0,0
"Hispanic",2017,4,"2017 Qtr4",4.7,0,1,0,0
"Hispanic",2018,1,"2018 Qtr1",5.4,0,1,0,0
"Hispanic",2018,2,"2018 Qtr2",4.5,0,1,0,0
"Hispanic",2018,3,"2018 Qtr3",4.5,0,1,0,0
"Hispanic",2018,4,"2018 Qtr4",4.3,0,1,0,0
"Hispanic",2019,1,"2019 Qtr1",5.1,0,1,0,0
"Hispanic",2019,2,"2019 Qtr2",3.9,0,1,0,0
"Hispanic",2019,3,"2019 Qtr3",4.2,0,1,0,0
"Hispanic",2019,4,"2019 Qtr4",4,0,1,0,0
"African_American",1999,1,"1999 Qtr1",8.23333333333333,0,0,1,0
"African_American",1999,2,"1999 Qtr2",7.5,0,0,1,0
"African_American",1999,3,"1999 Qtr3",8.66666666666667,0,0,1,0
"African_American",1999,4,"1999 Qtr4",7.56666666666667,0,0,1,0
"African_American",2000,1,"2000 Qtr1",8,0,0,1,0
"African_American",2000,2,"2000 Qtr2",7.36666666666667,0,0,1,0
"African_American",2000,3,"2000 Qtr3",7.9,0,0,1,0
"African_American",2000,4,"2000 Qtr4",7,0,0,1,0
"African_American",2001,1,"2001 Qtr1",8.26666666666667,0,0,1,0
"African_American",2001,2,"2001 Qtr2",7.9,0,0,1,0
"African_American",2001,3,"2001 Qtr3",8.9,0,0,1,0
"African_American",2001,4,"2001 Qtr4",9.33333333333333,0,0,1,0
"African_American",2002,1,"2002 Qtr1",10.4333333333333,0,0,1,0
"African_American",2002,2,"2002 Qtr2",10.2666666666667,0,0,1,0
"African_American",2002,3,"2002 Qtr3",10,0,0,1,0
"African_American",2002,4,"2002 Qtr4",10.2,0,0,1,0
"African_American",2003,1,"2003 Qtr1",10.8666666666667,0,0,1,0
"African_American",2003,2,"2003 Qtr2",10.9333333333333,0,0,1,0
"African_American",2003,3,"2003 Qtr3",11.2,0,0,1,0
"African_American",2003,4,"2003 Qtr4",10.2333333333333,0,0,1,0
"African_American",2004,1,"2004 Qtr1",10.4,0,0,1,0
"African_American",2004,2,"2004 Qtr2",9.86666666666667,0,0,1,0
"African_American",2004,3,"2004 Qtr3",10.8,0,0,1,0
"African_American",2004,4,"2004 Qtr4",10.4666666666667,0,0,1,0
"African_American",2005,1,"2005 Qtr1",10.9,0,0,1,0
"African_American",2005,2,"2005 Qtr2",10.0666666666667,0,0,1,0
"African_American",2005,3,"2005 Qtr3",9.63333333333333,0,0,1,0
"African_American",2005,4,"2005 Qtr4",9.4,0,0,1,0
"African_American",2006,1,"2006 Qtr1",9.36666666666667,0,0,1,0
"African_American",2006,2,"2006 Qtr2",8.86666666666667,0,0,1,0
"African_American",2006,3,"2006 Qtr3",9.36666666666667,0,0,1,0
"African_American",2006,4,"2006 Qtr4",8.13333333333333,0,0,1,0
"African_American",2007,1,"2007 Qtr1",8.23333333333333,0,0,1,0
"African_American",2007,2,"2007 Qtr2",8.3,0,0,1,0
"African_American",2007,3,"2007 Qtr3",8.16666666666667,0,0,1,0
"African_American",2007,4,"2007 Qtr4",8.36666666666667,0,0,1,0
"African_American",2008,1,"2008 Qtr1",8.93333333333333,0,0,1,0
"African_American",2008,2,"2008 Qtr2",9.13333333333333,0,0,1,0
"African_American",2008,3,"2008 Qtr3",10.9333333333333,0,0,1,0
"African_American",2008,4,"2008 Qtr4",11.3,0,0,1,0
"African_American",2009,1,"2009 Qtr1",13.5666666666667,0,0,1,0
"African_American",2009,2,"2009 Qtr2",14.8,0,0,1,0
"African_American",2009,3,"2009 Qtr3",15.4,0,0,1,0
"African_American",2009,4,"2009 Qtr4",15.3666666666667,0,0,1,0
"African_American",2010,1,"2010 Qtr1",16.7,0,0,1,0
"African_American",2010,2,"2010 Qtr2",15.6,0,0,1,0
"African_American",2010,3,"2010 Qtr3",16.2666666666667,0,0,1,0
"African_American",2010,4,"2010 Qtr4",15.2666666666667,0,0,1,0
"African_American",2011,1,"2011 Qtr1",15.8666666666667,0,0,1,0
"African_American",2011,2,"2011 Qtr2",16.1,0,0,1,0
"African_American",2011,3,"2011 Qtr3",16.5666666666667,0,0,1,0
"African_American",2011,4,"2011 Qtr4",14.8,0,0,1,0
"African_American",2012,1,"2012 Qtr1",14,0,0,1,0
"African_American",2012,2,"2012 Qtr2",13.5333333333333,0,0,1,0
"African_American",2012,3,"2012 Qtr3",14.3,0,0,1,0
"African_American",2012,4,"2012 Qtr4",13.4,0,0,1,0
"African_American",2013,1,"2013 Qtr1",13.6333333333333,0,0,1,0
"African_American",2013,2,"2013 Qtr2",13.3,0,0,1,0
"African_American",2013,3,"2013 Qtr3",13.2666666666667,0,0,1,0
"African_American",2013,4,"2013 Qtr4",12.0666666666667,0,0,1,0
"African_American",2014,1,"2014 Qtr1",12.2333333333333,0,0,1,0
"African_American",2014,2,"2014 Qtr2",11,0,0,1,0
"African_American",2014,3,"2014 Qtr3",11.6666666666667,0,0,1,0
"African_American",2014,4,"2014 Qtr4",10.5,0,0,1,0
"African_American",2015,1,"2015 Qtr1",10.3666666666667,0,0,1,0
"African_American",2015,2,"2015 Qtr2",9.56666666666667,0,0,1,0
"African_American",2015,3,"2015 Qtr3",9.56666666666667,0,0,1,0
"African_American",2015,4,"2015 Qtr4",8.76666666666667,0,0,1,0
"African_American",2016,1,"2016 Qtr1",9,0,0,1,0
"African_American",2016,2,"2016 Qtr2",8.33333333333333,0,0,1,0
"African_American",2016,3,"2016 Qtr3",8.5,0,0,1,0
"African_American",2016,4,"2016 Qtr4",7.86666666666667,0,0,1,0
"African_American",2017,1,"2017 Qtr1",8.1,0,0,1,0
"African_American",2017,2,"2017 Qtr2",7.3,0,0,1,0
"African_American",2017,3,"2017 Qtr3",7.5,0,0,1,0
"African_American",2017,4,"2017 Qtr4",6.96666666666667,0,0,1,0
"African_American",2018,1,"2018 Qtr1",7.26666666666667,0,0,1,0
"African_American",2018,2,"2018 Qtr2",6.1,0,0,1,0
"African_American",2018,3,"2018 Qtr3",6.43333333333333,0,0,1,0
"African_American",2018,4,"2018 Qtr4",6.1,0,0,1,0
"African_American",2019,1,"2019 Qtr1",7.13333333333333,0,0,1,0
"African_American",2019,2,"2019 Qtr2",6.06666666666667,0,0,1,0
"African_American",2019,3,"2019 Qtr3",5.63333333333333,0,0,1,0
"African_American",2019,4,"2019 Qtr4",5.43333333333333,0,0,1,0
"Asian",2000,1,"2000 Qtr1",3.83333333333333,0,0,0,1
"Asian",2000,2,"2000 Qtr2",3.83333333333333,0,0,0,1
"Asian",2000,3,"2000 Qtr3",3.73333333333333,0,0,0,1
"Asian",2000,4,"2000 Qtr4",3.1,0,0,0,1
"Asian",2001,1,"2001 Qtr1",3.43333333333333,0,0,0,1
"Asian",2001,2,"2001 Qtr2",3.86666666666667,0,0,0,1
"Asian",2001,3,"2001 Qtr3",5.23333333333333,0,0,0,1
"Asian",2001,4,"2001 Qtr4",5.3,0,0,0,1
"Asian",2002,1,"2002 Qtr1",5.6,0,0,0,1
"Asian",2002,2,"2002 Qtr2",6.23333333333333,0,0,0,1
"Asian",2002,3,"2002 Qtr3",6.03333333333333,0,0,0,1
"Asian",2002,4,"2002 Qtr4",5.7,0,0,0,1
"Asian",2003,1,"2003 Qtr1",6.03333333333333,0,0,0,1
"Asian",2003,2,"2003 Qtr2",6.23333333333333,0,0,0,1
"Asian",2003,3,"2003 Qtr3",6.1,0,0,0,1
"Asian",2003,4,"2003 Qtr4",5.53333333333333,0,0,0,1
"Asian",2004,1,"2004 Qtr1",4.7,0,0,0,1
"Asian",2004,2,"2004 Qtr2",4.53333333333333,0,0,0,1
"Asian",2004,3,"2004 Qtr3",4.06666666666667,0,0,0,1
"Asian",2004,4,"2004 Qtr4",4.36666666666667,0,0,0,1
"Asian",2005,1,"2005 Qtr1",4.2,0,0,0,1
"Asian",2005,2,"2005 Qtr2",3.93333333333333,0,0,0,1
"Asian",2005,3,"2005 Qtr3",4.3,0,0,0,1
"Asian",2005,4,"2005 Qtr4",3.5,0,0,0,1
"Asian",2006,1,"2006 Qtr1",3.26666666666667,0,0,0,1
"Asian",2006,2,"2006 Qtr2",3.36666666666667,0,0,0,1
"Asian",2006,3,"2006 Qtr3",2.8,0,0,0,1
"Asian",2006,4,"2006 Qtr4",2.76666666666667,0,0,0,1
"Asian",2007,1,"2007 Qtr1",2.96666666666667,0,0,0,1
"Asian",2007,2,"2007 Qtr2",3.1,0,0,0,1
"Asian",2007,3,"2007 Qtr3",3.2,0,0,0,1
"Asian",2007,4,"2007 Qtr4",3.66666666666667,0,0,0,1
"Asian",2008,1,"2008 Qtr1",3.26666666666667,0,0,0,1
"Asian",2008,2,"2008 Qtr2",3.83333333333333,0,0,0,1
"Asian",2008,3,"2008 Qtr3",4.06666666666667,0,0,0,1
"Asian",2008,4,"2008 Qtr4",4.56666666666667,0,0,0,1
"Asian",2009,1,"2009 Qtr1",6.5,0,0,0,1
"Asian",2009,2,"2009 Qtr2",7.16666666666667,0,0,0,1
"Asian",2009,3,"2009 Qtr3",7.73333333333333,0,0,0,1
"Asian",2009,4,"2009 Qtr4",7.73333333333333,0,0,0,1
"Asian",2010,1,"2010 Qtr1",8.1,0,0,0,1
"Asian",2010,2,"2010 Qtr2",7.33333333333333,0,0,0,1
"Asian",2010,3,"2010 Qtr3",7.26666666666667,0,0,0,1
"Asian",2010,4,"2010 Qtr4",7.3,0,0,0,1
"Asian",2011,1,"2011 Qtr1",6.93333333333333,0,0,0,1
"Asian",2011,2,"2011 Qtr2",6.73333333333333,0,0,0,1
"Asian",2011,3,"2011 Qtr3",7.53333333333333,0,0,0,1
"Asian",2011,4,"2011 Qtr4",6.86666666666667,0,0,0,1
"Asian",2012,1,"2012 Qtr1",6.4,0,0,0,1
"Asian",2012,2,"2012 Qtr2",5.56666666666667,0,0,0,1
"Asian",2012,3,"2012 Qtr3",5.63333333333333,0,0,0,1
"Asian",2012,4,"2012 Qtr4",5.96666666666667,0,0,0,1
"Asian",2013,1,"2013 Qtr1",5.86666666666667,0,0,0,1
"Asian",2013,2,"2013 Qtr2",4.8,0,0,0,1
"Asian",2013,3,"2013 Qtr3",5.36666666666667,0,0,0,1
"Asian",2013,4,"2013 Qtr4",4.86666666666667,0,0,0,1
"Asian",2014,1,"2014 Qtr1",5.4,0,0,0,1
"Asian",2014,2,"2014 Qtr2",5.36666666666667,0,0,0,1
"Asian",2014,3,"2014 Qtr3",4.43333333333333,0,0,0,1
"Asian",2014,4,"2014 Qtr4",4.66666666666667,0,0,0,1
"Asian",2015,1,"2015 Qtr1",3.76666666666667,0,0,0,1
"Asian",2015,2,"2015 Qtr2",4.06666666666667,0,0,0,1
"Asian",2015,3,"2015 Qtr3",3.7,0,0,0,1
"Asian",2015,4,"2015 Qtr4",3.8,0,0,0,1
"Asian",2016,1,"2016 Qtr1",3.83333333333333,0,0,0,1
"Asian",2016,2,"2016 Qtr2",3.73333333333333,0,0,0,1
"Asian",2016,3,"2016 Qtr3",4.03333333333333,0,0,0,1
"Asian",2016,4,"2016 Qtr4",2.96666666666667,0,0,0,1
"Asian",2017,1,"2017 Qtr1",3.5,0,0,0,1
"Asian",2017,2,"2017 Qtr2",3.46666666666667,0,0,0,1
"Asian",2017,3,"2017 Qtr3",3.83333333333333,0,0,0,1
"Asian",2017,4,"2017 Qtr4",2.76666666666667,0,0,0,1
"Asian",2018,1,"2018 Qtr1",3.03333333333333,0,0,0,1
"Asian",2018,2,"2018 Qtr2",2.7,0,0,0,1
"Asian",2018,3,"2018 Qtr3",3.26666666666667,0,0,0,1
"Asian",2018,4,"2018 Qtr4",2.96666666666667,0,0,0,1
"Asian",2019,1,"2019 Qtr1",3.13333333333333,0,0,0,1
"Asian",2019,2,"2019 Qtr2",2.23333333333333,0,0,0,1
"Asian",2019,3,"2019 Qtr3",2.76666666666667,0,0,0,1
"Asian",2019,4,"2019 Qtr4",2.6,0,0,0,1
